Week,Day,date,link_it,Outline,raw_notes,Evaluations,
wk01,M,1/25/2016,TRUE,Introduction to the class,lec00_Intro,,QFOCUS - Preparing Data for Analysis
wk01,W,1/27/2016,TRUE,Characterizing Data (Ch 2),lec01_data_prep,,
wk01,F,1/29/2016,TRUE,Data cleaning (Ch 3),,,
wk02,M,2/1/2016,TRUE,Data screening and Transformations (Ch 4),,Ch 3 HW due,
wk02,W,2/3/2016,TRUE,Selecting Appropriate Analysis (Ch 5),,,
wk02,F,2/5/2016,FALSE,Consulting- Intro to Recruitment Database,,,
wk03,M,2/8/2016,TRUE,Simple Linear Regression (Ch 6),lec02_LinReg,Quiz 1,
wk03,W,2/10/2016,TRUE,"Finish SLR, work on consulting report",,1st consulting report,
wk03,F,2/12/2016,FALSE,Consulting - Visit by Dr. Downing,,Q & A,
wk04,Su,2/14/2016,FALSE,,,CH 6 HW due,
wk04,M,2/15/2016,TRUE,"MLR - Fitting, predictions, interpretations(Ch 7)",lec03_MultLinReg,,
wk04,W,2/17/2016,TRUE,MLR - Interactions & stratification,,,
wk04,F,2/19/2016,TRUE,"Writing models, reference coding and contrasts","Afifi Ch 9.3, Harrel Ch 2",Consulting reflection,
wk05,Su,2/21/2016,FALSE,,,Quiz 2 on Ch 7,
wk05,M,2/22/2016,TRUE,Reference coding,lec04_Indicators_Splines,,
wk05,W,2/24/2016,TRUE,Splines,,,
wk05,F,2/26/2016,TRUE,Improving your model ,,2nd consulting report,QFOCUS - Model building
wk06,Su,2/28/2016,FALSE,,,HW due - lec04,
wk06,M,2/29/2016,TRUE,"Variable selection - manual, automated (Ch 8)",lec05_Variable_Selection,,
wk06,W,3/2/2016,TRUE,Model building practice,,,
wk06,F,3/4/2016,TRUE,Finalizing the consulting model and report,,Priority Q - Discussion,
wk07,Su,3/6/2016,FALSE,,,HW due: Variable Selection,
wk07,M,3/7/2016,TRUE,Consulting - Visit by Dr. Downing,Recruitment_Data_Analysis,Final Consulting Report,
wk07,W,3/9/2016,TRUE,Exam Review,Midterm_Studyguide,,
wk07,F,3/11/2016,FALSE,,,Exam 1: Lec01 - 05,
wk08,M,3/14/2016,FALSE,Spring Break!,,,
wk09,M,3/21/2016,TRUE,Dimension Reduction - PCA Intro,lec06_DimensionReduction,,
wk09,W,3/23/2016,TRUE,PCA Classwork,,,
wk09,F,3/25/2016,FALSE,Exam discussion,,,
wk10,Su,3/27/2016,FALSE,,,Quiz on PCA,
wk10,M,3/28/2016,TRUE,PCA practice,PCA_worksheet,,
wk10,W,3/30/2016,TRUE,Inference on Categorical Data,lec07_CategoricalDataAnalysis,,
wk10,F,4/1/2016,TRUE,Contingency tables and Odds Ratios,,,
wk11,Su,4/3/2016,FALSE,,,,
wk11,M,4/4/2016,TRUE,M&M Experiment,MnM_Experiment,,
wk11,W,4/6/2016,TRUE,"Logistic Regression - Introduction, model fitting",lec08_LogisticRegression,HW: Categorical data,
wk11,F,4/8/2016,TRUE,"Logistic regression - Variable selection, classwork",Afifi Ch 12,,
wk12,Su,4/10/2016,FALSE,,,Quiz: Logistic Regression,
wk12,M,4/11/2016,TRUE,Introduction to Classification,ClassifyingProject,,
wk12,W,4/13/2016,TRUE,Assessing model fit,,,
wk12,F,4/15/2016,TRUE,,Afifi Ch 12.8,Project Approval,
wk13,Su,4/17/2016,FALSE,,,Quiz: Model Fit,
wk13,M,4/18/2016,FALSE,"Classifiers - Logistic, LDA, NB",lec10_Classifiers,,
wk13,W,4/20/2016,FALSE,,,,
wk13,F,4/22/2016,FALSE,,,,
wk14,Su,4/24/2016,FALSE,,,Quiz: Classifiers,https://www.youtube.com/watch?v=7Jbb2ItbTC4
wk14,M,4/25/2016,FALSE,"Classifiers - Decision trees, RF, KNN",,,http://blog.echen.me/2011/04/27/choosing-a-machine-learning-classifier/
wk14,W,4/27/2016,FALSE,,,,https://www.youtube.com/watch?v=k7sTiTWWCXM
wk14,F,4/29/2016,FALSE,,,Project 2 Draft Due (EOD),
wk15,M,5/2/2016,FALSE,Missing Data: Identification and Imputation,lec11_MissingData,Project 2 Draft Peer Review (EOD),
wk15,W,5/4/2016,FALSE,Missing Data: MICE,,,
wk15,F,5/6/2016,FALSE,,,,
wk16,Su,5/8/2016,FALSE,,,Quiz: Missing Data,
wk16,M,5/9/2016,FALSE,,,,
wk16,W,5/11/2016,FALSE,Exam Review,,,
wk16,F,5/13/2016,FALSE,,,Final Exam - In class portion,
Finals,W,5/18/2016,FALSE,Finals Week,,Project 2 Final Report (EOD),
Finals,F,5/20/2016,FALSE,Finals Week,,Final Exam - Take home portion (2pm),
